Report Generated,9/27/2023,,,,,,,,
Document Group,ProjectA,,,,,,,,
Document,OWNERA-PROJECTA-GAS PIPING-DAY40,,,,,,,,
Query Group,Pipe Totals,,,,,,,,
Query,Pipe - Totals,,,,,,,,
,,,,,,,,,
,,,,,,,,,
pointverge_export_row,sort_seq,nps,nps_dec,strength,schedule,total_ft,total_pieces,description,db_code
1,100,1,1,XS,80,311.5,2,"PIPE, TE, SCH 80, ASTM A106 GR B, SMLS",PIP1004B0110-06
2,100,10,10,STD,40,107.7083,28,"PIPE, BE, STD, ASTM A106 GR B, SMLS",PIP1004A0103-17
3,100,12,12,STD,,261.1667,60,"PIPE, BE, STD, ASTM A106 GR B, SMLS",PIP1004A0103-18
4,100,16,16,STD,30,434.5833,20,"PIPE, BE, STD, ASTM A106 GR B, SMLS",PIP1004A0103-20
5,100,2,2,XS,80,516.9583,62,"PIPE, BE, SCH 80, ASTM A106 GR B, SMLS",PIP1004A0110-09
6,100,2,2,XS,80,74.3333,2,"PIPE, BE, SCH 80, ASTM A106 GR B, SMLS, FBE",PIP1004A0110-09
7,100,2,2,XS,80,132.6667,18,"PIPE, TE, SCH 80, ASTM A106 GR B, SMLS",PIP1004B0110-09
8,100,3,3,STD,40,73.7917,8,"PIPE, BE, STD, ASTM A106 GR B, SMLS",PIP1004A0103-11
9,100,3,3,XS,80,190.0833,8,"PIPE, TE, SCH 80, ASTM A106 GR B, SMLS",11-Oct
10,100,4,4,STD,40,949.1667,100,"PIPE, BE, STD, ASTM A106 GR B, SMLS",PIP1004A0103-13
11,100,6,6,STD,40,5,4,"PIPE, BE, SCH 40, ASTM A106 GR B, SMLS",PIP1004A0108-15
12,100,6,6,STD,40,121.9167,28,"PIPE, BE, STD, ASTM A106 GR B, SMLS",PIP1004A0103-15
13,100,8,8,STD,40,47.25,6,"PIPE, BE, STD, ASTM A106 GR B, SMLS",PIP1004A0103-16
14,100,8,8,XS,80,28.5,10,"PIPE, BE, SCH 80, ASTM A106 GR B, SMLS",PIP1004A0110-16
15,100,8,8,XS,80,326.5833,48,"PIPE, BE, SCH 80, ASTM A106 GR B, SMLS, INTERNAL POLY COATING",PIP1004A0110-16
16,184,10,10,,,5.9792,1,"PIPE, HDPE, IPS, SDR 9",PIP5227E-17
17,184,2,2,XS,80,45.8333,4,"PIPE, GROOVED END, SCH 80,",-9
18,184,2,2,XS,80,74.0417,2,"PIPE, GROOVED END, SCH 80, ASTM A106 GR B, SMLS",-9
19,184,3,3,XS,80,126.5833,8,"PIPE, GROOVED END, SCH 80,",-11
